"est_error","cis","below_zero","above_zero","est_error","cis","below_zero","above_zero"
"-2.26 ± 0.93","[-4.24, -0.59]",0.99,0.01,"0.97 ± 1.1","[-1.01, 3.34]",0.19,0.81
"0.19 ± 0.08","[0.05, 0.35]",0,1,"0.01 ± 0.33","[-0.64, 0.66]",0.49,0.51
"4.32 ± 1.22","[1.98, 6.81]",0,1,"1.15 ± 1.72","[-2.35, 4.38]",0.24,0.76
"0.34 ± 0.14","[0.08, 0.64]",0.01,0.99,"-0.43 ± 0.37","[-1.17, 0.3]",0.88,0.12
"-0.52 ± 0.21","[-0.96, -0.13]",1,0,"-0.19 ± 0.45","[-1.09, 0.71]",0.67,0.33
"0.27 ± 0.21","[-0.14, 0.69]",0.1,0.9,"0.25 ± 0.35","[-0.43, 0.95]",0.24,0.76
"-0.14 ± 0.09","[-0.32, 0.01]",0.96,0.04,"0.15 ± 0.63","[-1, 1.45]",0.41,0.59
"-0.21 ± 0.25","[-0.69, 0.29]",0.8,0.2,"0.71 ± 0.76","[-0.69, 2.27]",0.18,0.82
"0.35 ± 0.32","[-0.25, 0.99]",0.13,0.87,"3.87 ± 2.96","[-0.93, 10.64]",0.07,0.93
"-0.19 ± 0.32","[-0.8, 0.47]",0.73,0.27,"0.25 ± 2.23","[-3.75, 5.16]",0.48,0.52
