"est_error","cis","below_zero","above_zero","est_error","cis","below_zero","above_zero"
"0.91 ± 0.39","[0.15, 1.71]",0.01,0.99,"2.62 ± 0.94","[0.86, 4.56]",0,1
"-0.01 ± 0.02","[-0.04, 0.03]",0.64,0.36,"0.18 ± 0.21","[-0.21, 0.6]",0.2,0.8
"-0.1 ± 0.64","[-1.4, 1.17]",0.56,0.44,"0.64 ± 2.02","[-3.19, 4.64]",0.38,0.62
"0.1 ± 0.06","[-0.01, 0.22]",0.04,0.96,"0.05 ± 0.28","[-0.48, 0.63]",0.44,0.56
"0 ± 0.07","[-0.15, 0.15]",0.52,0.48,"-0.3 ± 0.39","[-1.07, 0.46]",0.79,0.21
"0.05 ± 0.08","[-0.1, 0.2]",0.27,0.73,"0.04 ± 0.31","[-0.54, 0.68]",0.45,0.55
"0.03 ± 0.04","[-0.04, 0.11]",0.23,0.77,"-0.41 ± 0.36","[-1.19, 0.23]",0.89,0.11
"0.06 ± 0.12","[-0.18, 0.31]",0.33,0.67,"0.2 ± 0.76","[-1.2, 1.74]",0.4,0.6
"0.11 ± 0.19","[-0.25, 0.5]",0.27,0.73,"-0.27 ± 0.93","[-2.19, 1.55]",0.62,0.38
"-0.24 ± 0.2","[-0.64, 0.15]",0.89,0.11,"0.43 ± 0.74","[-0.92, 1.99]",0.28,0.72
